Country,Year,Total,Non-Powered Boat,Powered-Boat
Indonesia,2012,616690,172333,444357
West Sumatra,2012,38629,10828,27801
South Java,2012,24660,1271,23389
Malacca Strait,2012,38954,6654,32300
East Sumatra,2012,62324,14646,47675
North Java,2012,81525,2642,78883
Bali-Nusa Tenggara,2012,52929,15553,37376
South-west Kalimantan,2012,28476,7820,20656
East Kalimantan,2012,32533,2319,30214
South Sulawesi,2012,71297,13705,57592
North Sulawesi,2012,85522,27369,58153
Maluku-Papua,2012,99841,69523,30138
