Country,Year,Total,Non-Powered Boat,Powered-Boat
Indonesia,2009,596230,205460,390770
West Sumatra,2009,43360,20328,23032
South Java,2009,24034,4614,19402
Malacca Strait,2009,37179,7784,29395
East Sumatra,2009,61025,17604,43421
North Java,2009,88168,6521,81647
Bali-Nusa Tenggara,2009,63692,28850,34842
South-west Kalimantan,2009,29742,34842,21631
East Kalimantan,2009,40403,21631,34409
South Sulawesi,2009,78391,34409,51199
North Sulawesi,2009,51278,51199,32588
Maluku-Papua,2009,78958,32588,19186
