Country,Year,Total,Non-Powered Boat,Powered-Boat
Indonesia,2015,625708,165050,460658
West Sumatra,2015,34647,9010,25637
South Java,2015,27060,1210,25850
Malacca Strait,2015,40354,6200,34154
East Sumatra,2015,62061,14140,47921
North Java,2015,87015,3380,83635
Bali-Nusa Tenggara,2015,62804,19060,43744
South-West Kalimantan,2015,29469,5990,23479
East Kalimantan,2015,33594,2710,30884
South Sulawesi,2015,78733,15570,63163
North Sulawesi,2015,78793,28690,50103
Maluku-Papua,2015,91173,59090,32083
