Production,Captures,Fish-Consumption,Price
368.000000,99187.421875,4.070000,99187.421875
407.000000,90196.242188,3.510000,90196.2421875
150.000000,79702.000000,2.950000,79702
147.000000,95273.914062,3.440000,95273.9140625
300.000000,101899.968750,3.610000,101899.96875
389.000000,135409.859375,4.730000,135409.859375
369.000000,105878.664062,3.900000,105878.6640625
322.000000,81995.796875,2.910000,81995.796875
322.000000,91585.398438,3.170000,91585.3984375
283.000000,92337.000000,3.280000,92337
250.000000,102399.000000,3.580000,102399
351.000000,113159.898438,3.840000,113159.8984375
454.000000,133628.000000,4.460000,133628
476.000000,134324.796875,4.500000,134324.796875
417.000000,140959.000000,5.030000,140959
586.000000,113464.203125,4.230000,113464.203125
368.000000,126260.296875,4.450000,126260.296875
288.000000,145763.796875,5.120000,145763.796875
405.000000,147363.125000,5.130000,147363.125
2779.916016,138862.437500,4.700000,138862.4375
2163.231934,127777.000000,4.750000,127777
1758.741943,93464.000000,3.810000,93464
2245.770020,101815.000000,3.940000,101815
2644.001953,105621.000000,3.990000,105621
2192.881104,101057.000000,3.920000,101057
2410.972900,97828.000000,4.400000,97828
1332.989990,95946.000000,4.160000,95946
1376.000000,100180.000000,3.920000,100180
1416.000000,104100.000000,3.860000,104100
5.000000,239351.000000,12.060000,239351
11.000000,254553.000000,15.210000,254553
51.000000,255443.000000,16.000000,255443
72.000000,212033.000000,13.240000,212033
92.000000,240002.000000,13.340000,240002
126.000000,202616.000000,12.010000,202616
156.000000,225741.000000,13.920000,225741
190.000000,306436.000000,16.780000,306436
190.000000,305860.000000,17.070000,305860
260.000000,272042.000000,16.170000,272042
310.000000,310000.000000,16.190000,310000
310.000000,342000.000000,16.320000,342000
310.000000,374000.000000,15.820000,374000
57.000000,407000.000000,15.340000,407000
305.000000,442084.000000,26.360000,442084
872.000000,495232.000000,22.720000,495232
655.000000,486490.000000,19.520000,486490
1339.000000,531575.000000,20.220000,531575
0,246800.000000,7.170000,246800
0,274800.000000,9.770000,274800
0,245300.000000,8.840000,245300
0,362000.000000,11.930000,362000
0,263300.000000,10.520000,263300
0,335300.000000,11.080000,335300
0,299300.000000,13.640000,299300
0,303100.000000,14.130000,303100
0,425200.000000,12.670000,425200
0,374501.000000,14.670000,374501
0,324322.000000,11.100000,324322
0,606656.000000,6.170000,606656
0,478659.000000,5.810000,478659
0,399784.000000,7.670000,399784
0,160581.000000,4.490000,160581
0,81542.000000,9.040000,81542
0,120407.000000,14.720000,120407
0,125630.000000,14.010000,125630
0,113072.000000,12.580000,113072
0,85085.000000,8.520000,85085
0,130957.000000,13.280000,130957
0,111488.000000,22.320000,111488
0,110376.000000,22.180000,110376
0,95188.000000,24.590000,95188
0,100093.000000,26.510000,100093
0,84660.000000,25.780000,84660
0,107490.000000,24.940000,107490
0,126031.000000,24.990000,126031
0,137465.000000,22.980000,137465
0,133088.000000,19.410000,133088
0,117104.000000,11.970000,117104
0,113625.000000,11.140000,113625
0,126200.000000,11.630000,126200
0,132413.000000,11.540000,132413
0,122781.000000,10.430000,122781
0,137815.000000,11.510000,137815
0,146304.000000,10.390000,146304
0,163149.000000,8.720000,163149
0,175799.000000,11.770000,175799
4.000000,3055.000000,54.570000,3055
10.000000,5951.000000,53.960000,5951
11.000000,4605.000000,53.360000,4605
13.000000,3114.000000,54.170000,3114
10.000000,3165.000000,53.590000,3165
10.000000,3165.000000,53.040000,3165
10.000000,3165.000000,52.540000,3165
0,800.000000,36.830000,800
0,800.000000,36.610000,800
0,800.000000,35.960000,800
0,700.000000,36.020000,700
0,800.000000,37.090000,800
0,800.000000,36.480000,800
0,800.000000,31.860000,800
0,800.000000,25.800000,800
0,800.000000,34.770000,800
0,900.000000,30.390000,900
0,900.000000,29.930000,900
0,1200.000000,33.960000,1200
0,1500.000000,37.870000,1500
0,1590.000000,35.150000,1590
0,1601.000000,41.260000,1601
0,1613.000000,43.600000,1613
0,1821.000000,43.150000,1821
0,1620.000000,37.020000,1620
0,1219.000000,40.670000,1219
0,1171.000000,42.950000,1171
0,1157.000000,37.630000,1157
0,950.000000,30.180000,950
0,1063.000000,31.270000,1063
0,1465.000000,40.740000,1465
0,2407.000000,51.850000,2407
0,2400.000000,54.790000,2400
0,1985.000000,50.760000,1985
