"Country","Country Code","Indicator","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Dominican Republic","DOM","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1300","1600","1700","3200","4200","4100","3500","3200","4600","4800","5200","4600","5600","9200","6810","5906","7053","4594","5086","7885","10658","12003","13169","12849","13875","17009.900390625","16988.099609375","20129","12663","21663","19495","16839","12846","12857","22832","17874","12894","14535","10171","8418","11015","13217","17261","18097","14223","11193","12956","13709","15382","14233","14490","14005","13663","13188","13782","11893","14640","15715","13542","","",
"Algeria","DZA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","25500","30400","21500","16900","17300","18300","20350","21150","18250","23150","24234","23715","28313","31243","35758","37693","35122","43475","34143","38678","48000","56000","64500","65000","65500.8984375","66000.6015625","65261.80078125","94093.796875","106437.296875","99187.421875","90196.2421875","79702","95273.9140625","101899.96875","135409.859375","105878.6640625","81995.796875","91585.3984375","92337","102399","113159.8984375","133628","134324.796875","140959","113464.203125","126260.296875","145763.796875","147363.125","138862.4375","127777","93464","101815","105621","101057","97828","95946","100180","104100","115255","","",
"East Asia & Pacific (excluding high income)","EAP","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4850888","5317192","5653897","5857925","6111662","6423458","6755314","7035496","7585058","7753276","7789680","8367086","9060977","9433376","9557914","9699910","10074648","10845539","11085045","10644989","10592227","11195286","11880923","12387630.96875","12547902.1132813","13033646.1210938","14258677.5996094","15548665.6523438","15679884.6328125","16492400.5273438","17029752.3125","18049860.9707031","19538282.6621094","20947333.84375","22944793.1132813","24984504.0585938","26534671.8945313","27295467.9257813","28316706.75","28632682.4648438","28837251.2070313","28778491.2363281","29201609.9667969","30018670.5820313","30816707.3320313","31091055.609375","31564397.8476563","31780142.5390625","31410786.1992188","31604454.6289063","31803682.09375","32283242.4101563","32750749.9492188","33415122.75","34739383.984375","35161388.453125","34706378.4296875","34501966.375","34527696.75","","",
"Early-demographic dividend","EAR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","8283323","10188578","12053524","12368883","15287986","13986004","15705300","17575364","18671798","17309427","20553998","18859277","13150461","11608727","13782064","13003372","13900406","12654923","14270668","14884224","14211304","14550116.578125","15429303.640625","13542548.2585449","15970626.2768555","17609285.5993652","19440668.3742676","19279117.5871582","21795265.4389648","22033689.3452148","21909889.6064453","22417966.7524414","23902526.9375","26368697","29778392.8164063","27671114.5976563","28486953.0976563","27458528.8867188","23578559.390625","28412646.9648438","31249727.4804688","29576343.7363281","30598923.6386719","28441413.78125","32164435.25","32474858.40625","31002623.8945313","31424021.1640625","31894308.2617188","31489341.8046875","29397161.09375","32963117.0351563","30520827.1992188","31348291.875","30267228.609375","31630212.453125","30906646.6796875","32113903.8720703","35708302.4980469","","",
"East Asia & Pacific","EAS","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","11523975","12589954","13118594","13163580","13186114","14105562","14736372","15844517","17263531","17489643","18176863","19490317","20823624","21778154","22115001","22207647","22883601","23734040","24044423","23444287","23802495","24907607","25645813.8125","26666317.3808594","27775412.0878906","27695633.3339844","29939253.4121094","30973557.6523438","31207834.7578125","31521439.2773438","31305666.0625","30866619.3457031","31900243.9121094","32745607.9797363","34007253.6757813","35520711.1485596","36927635.8693848","37760402.0095215","37992259.6125488","38203140.8149414","37940634.4272461","37637528.8613281","37474963.1323242","38608794.9414063","38849455.0664063","39234956.9781494","39658945.8476563","40176326.74646","39698486.6022949","39315459.1601563","39437810.453125","39674976.1257935","39949521.9960938","40530469.8125","42131869.34375","42123453.421875","40945529.8671875","40718597.78125","40691750.6772461","","",
"Europe & Central Asia (excluding high income)","ECA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","122500","116000","91200","162600","153590","178214","166444","261660","221344","285500","314401","314066","344953","325699","345861","386380","411755","418223","446545","579023","688133","726051","805252","884584","862080.0625","873159.125","910509.137695313","958657.400390625","10569954.7998047","10187271.7128906","9215776.69335938","8290132","6741624.19995117","5480336","4783364","5535389.30004883","5769171.69995117","5639998.79998779","5540823.5","5294879.89990234","5067328","4598975.19995117","4204545.80004883","4183604.60009766","3832052.515625","4023541","4164529.09985352","4471080.39990234","4286744","4658541.19995117","4917607.60021973","5077486.8001709","5037477.8001709","5065566","4840367.90002441","5164021.31567383","5356186.70019531","5586478.10327148","5845794.09985352","","",
"Europe & Central Asia","ECS","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","8074060","8485100","8612989","8980319.125","9803489.125","10903547.375","11694728.75","12296627","11960442","11486515","12205944","12314374","12413438","12707100","12842434","12622538","13579672","13494078","12767852.09375","12713889.71875","12856675.875","12960107.6484375","12511506.078125","12938000.6381836","13309362.640625","13030806.3671875","12776007.1506348","12887861.6191406","24113763.5341797","23192392.6503906","20967140.9121094","20098837.8125","19216172.4499512","17853354.3046875","17214412.6015625","18610279.3850098","18794113.2741699","19158452.7296753","18329130.4140625","17533061.6225586","17630773.4160156","17298188.3483887","16751845.8312988","15888640.9086914","15301763.8476563","15133984.6210938","14804618.7922363","14840563.5335693","14370515.2764893","14562089.3808594","15099474.322876","14607607.3623047","14232911.1483154","14680994.5870972","14872926.0992432","15315699.3092346","14864776.5160828","16107113.3607788","16294046.6651611","","",
"Ecuador","ECU","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","44300","38600","42500","49700","46300","53500","48200","57500","68900","64890","90970","102530","106840","151565","175470","214198","280638","421954","610399","600266","629977","526740","585911","336156","849180","1056800","959932","610035","800393","611582","288913","330525","226817","290394","330475","508578","702974","536887","322348","503032","596489","587770","319169","399526","356774","464387","469060","408926","505571","498679","399874","506430","512308","513347","662356","643280","715496","623300","598807","","",
"Egypt, Arab Rep.","EGY","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","83900","86800","112800","109000","128000","96200","93100","74700","74900","74100","70758","77268","71209","78514","89344","97574","91764","91541","84915","120481","121397","120715.578125","131732.640625","132306.390625","136839.53125","174109.765625","183653.96875","184712.890625","232128.796875","233105.796875","251036","284431","282401.8125","302830.6875","311601.59375","335301.5","340435.40625","371333.1875","406205","422666","384315","428634","425163","431124","393495","349554","375895","372492","373816","387399","385210","375355","354174","356858","344792","344113","335614","370960","373286","","",
"Euro area","EMU","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","3521471","3649449","3634345","3821693.125","4050216.125","4225906.375","4278249.75","4506355","4649885","4444173","4475609","4350386","4296136","4483313","4474673","4306558","4173109","3854946","3843286.09375","3631548.71875","3775424.875","3963250.6484375","4050248.078125","4010582.63818359","4105620.578125","4107066.2421875","4144069.01293945","4133518.21875","5518193.734375","5405795.9375","4968976.21875","4894696.8125","4217534.171875","4272904.03125","4167182.59375","4363878.03125","4206004.578125","4149190.4375","4195719.8359375","4085011.53125","3953915.171875","4107923.0234375","3849375.4921875","3841392.2734375","3794467.2109375","3812967.53125","3839835.55957031","3677791.50085449","3542235.19836426","3456693.6809082","3577800.421875","3415348.49963379","3156033.16845703","3284246.24334717","3524910.19921875","3304453.99356079","3376806.31588745","3495374.60125732","3456669.22937012","","",
"Eritrea","ERI","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","475","2706","3559","3252","1038","1852.90002441406","6997.0498046875","12712","8880","7852","6689","7404","4027","8813","2232","1965","3330","3586","2939","4452","4300","4300","4300","4300","4300","4300","","",
"Spain","ESP","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","907298","971112","993604","993581.125","1068328.125","1188740.375","1204516.75","1308681","1455161","1386415","1426479","1374699","1405810","1431405","1430038","1436580","1418869","1337950","1314012.375","1153818","1170237.5","1181649.5","1239745","1179025.5","1194527.5","1222954.75","1233945.625","1269198.625","1327483","1308066.75","1131229.25","1078644.25","1091922.375","1099902.625","1108855.25","1195727.125","1189566","1220302.25","1256879.25","1191051.625","1063207","1090812.25","883740.5","889683.375","811999.8125","855290.125","962054.125","820313.125","923454.875","932443.3125","975413.625","1011433.1875","931612.875","990207","1064906","977970","916886.3125","953791.3125","928815.3125","","",
"Estonia","EST","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","397381","374222","345147","327876","128996","147185","124091","132576","108720","126057","121594","113112","113347","105492","102365","80208","88625","99581","86884","99444","102580","98504","95731","81580","67744","69781","69160","73616","76054","82821","87462","","",
"Ethiopia","ETH","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","8300","8600","9100","9600","12000","15900","16200","16200","14600","14400","17200","19100","14800","4700","5900","3930","2970","2472","2515","2800","3507","3828","3750","3900","4300","4000","4100","4000","4066","4236","14265","6335","4590","4769","5287","8330","8770","10370","14000","16849","15725","15432","12520","10113","10451","9797","10617","13794","17262","17050","18062","24118","29352","38371","50119","45525","50007","56005","57166","","",
"European Union","EUU","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4552526","4763038","4914213","5257660.125","5580843.125","5761074.375","5816937.75","6313232","6909433","6489497","6577194","6628468","6642558","6877918","7385673","7316792","7280102","6735296","6536739.09375","6374336.71875","6916199.875","6925048.6484375","7117154.078125","7172332.63818359","7216250.578125","7078173.2421875","7146769.01293945","7016276.21875","8677824.734375","8375291.9375","7302335.21875","7465607.8125","7090987.25","6694123.3046875","6928397.6015625","7288707.08496094","6657817.57421875","6729797.9296875","6472341.9140625","6130232.72265625","6097232.41601563","6205506.1484375","5865091.03125","5393438.30859375","5402391.33203125","5193204.62109375","5186560.69238281","4787535.13366699","4681552.27648926","4741021.1809082","4884176.72265625","4606544.56213379","4097497.34814453","4456799.58709717","4749808.19921875","4692707.99356079","4573916.81588745","4957735.25750732","4789538.56530762","","",
"Fragile and conflict affected situations","FCS","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","885335","887174","930902","941527","997968","1047325","1087844","1102492","1201091","1255672","1316150","1420737","1443546","1586241","1542432","1523778","1611541","1603727","1694695","1764396","1808929","1753465","1718409","1743940.24291992","1859376.90966797","1894372.70678711","2032424.31762695","2170977.7746582","2284929.97021484","2381123.68896484","2412424.35546875","2381530.77734375","2443816.7109375","2462450.71875","2488563.61328125","2796392.05859375","2574694.49453125","2831373.92578125","2993676.04064941","3042582.51464844","3283868.70703125","3548443.73632813","3794685.46679688","4004648.28125","4463650.546875","4483182.109375","4525812.84765625","4534711.8359375","4519672.69921875","4660614.6328125","4738368.59375","4827196.91015625","5032812.44921875","5111098.3515625","5310711.78125","5278238.453125","5608158.828125","5949473","5792833","","",
"Finland","FIN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","65500","67000","64900","80500","62900","73200","70800","73700","92200","86500","80700","90200","87600","98800","110650","109997","117559","115331","135711","130697","160579","149696","157818","167647","169408","169122","156544","153675","159624","146622","133020","119372","151795","156336","164269","167485","179079","180100","171693","160598","156458","150067","142432","122107","135713","132045","149603","164895","149026","155101","156447","154000","162487","167904","183135","183025","193173","191167","184299","","",
"Fiji","FJI","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","3000","3000","3000","3200","3400","3500","3500","3500","3800","3800","3900","3900","4700","4700","4800","5036","5589","7935","9250","20243","20404","23608","24931","24227","25633","26113","26440.400390625","27774.5","29120","29475.30078125","33175.76953125","29518.380859375","25188.201171875","28814","30116","30307","26622","29721","30667.609375","39206","42366","45106","40320","37237.80078125","49632.66015625","47390","48733","47247","46595","46387","41943","46159","44363","40863","43290","41234","44652","47126","43672","","",
"France","FRA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","651576","674920","654311","689299","709330","745249","799698","810052","829986","750969","752458","761294","725937","764694","747194","714393","713101","656550","696895.3125","649366.3125","652110.875","673271.875","668109.625","690911.5","677803.5625","695289.375","716702.5625","694899.5","741153.0625","719648.375","699246.8125","657306.5","668774.5","681951.5","703979.625","688478.3125","643249.875","642803.5","610466.5","657231.8125","694723.625","672078.6875","702197","709159.6875","665046.1875","598621.8125","595229.875","553733.6875","500203.8125","440359.3125","452253.5","502010.5","472560.5","540353.125","556717","507037.09375","572553.1875","545667.8125","611842.375","","",
"Faroe Islands","FRO","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","111077","122139","146027","140038","140398","146479","167804","175325","167989","177691","208220","208390","208663","247312","247312","286698","342537","311388","317946","268470","277837","246316","253170","331664","348760","374918","351596","388019","363002","304105","273996","229098","250048","246294","239175","288175","306287","330657","365750","358970","455242","517381","527415","621683","600729","565873","623122","620834","518275","351117","395017","355682","361187","488680","542902","585564","568739","703591","660936","","",
"Micronesia, Fed. Sts.","FSM","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","400","500","500","600","600","700","800","1000","1000","1000","1500","1500","1500","1500","1500","1500","1500","1503","1505","1505","1720","1720","1777","1777","1777","3564","3864","3766","2973","2266","2367","12552","16740","18168","22310","8082","8808","9781","15807","12589","23460","19471","22926","33753","31972","32361","15442","20873","25445","28606","31526","37345","47853","36320","52706","71707","88397","98931","129916","","",
"Gabon","GAB","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","6000","6500","7000","7000","7000","8000","8000","8000","9000","9000","10000","10000","10000","12000","12000","14900","14820","14010","17800","21000","19800","20146","20605","19449","21000","20953","20223","22185","22091","20500","20000","22000","24000","31789","31015","40437","46113","44193","53754","51255","47826","42871","41570","45479","46072","43863","41521","37814","31326","29589","32692","36522","36500","36600","36855","33000","31000","29000","29000","","",
"United Kingdom","GBR","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1020331","959416","1008287","1008921","1034141","1117764","1140930","1104408","1118670","1165185","1175607","1206030","1172818","1215094","1174655","1067903","1127509","1081583","1116508","992163","894700","878818","904565","838997","827712","881361","836507","924062","912033","865653","771699","797239","818724","865784","884557","918464","876839","899837","923267","840745","754527","769568","729055","643961","654962","670336","624738","619747","596021","590853","612629","601385","631199","632373","755668","705623","703245","726002","700242","","",
"Georgia","GEO","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201355","147688","104574","58153","38100","18240","7413","3560","2453","2583","3001","1413","1791","1636","1811","3306","11988","9974","14746","44068","48443","50026","46049","26547","12070","15520","19020","22520","44708","137423.203125","213077","","",
"Ghana","GHA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","33800","36500","45700","59800","76600","76500","85696","98990","74080","130954","171517","232662","281189","221664","219146","261391","246601","271933","274631","236979","231566","240510","244163","251503","269563","276216","319818","381814","362050","361675","395872","362538","423425","372619","335437","352844","476744","447127","445541","496770","454346","450353","375182","393547","420911","373985","375050","316564","351231","324585","348089","344575","366044","300718","290199","347621","332635","381091","376767","","",
"Gibraltar","GIB","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","",
"Guinea","GIN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4000","4000","4000","4000","5000","5000","5000","6000","6000","6000","6000","8300","8300","9500","12100","13370","9920","9120","10000","18453","20000","22000","24000","26000","28000","30000","33000","35000","38000","41000","44000","49500","55000","60600","63800","67960","63360","62441","69764","87314","91513","105404","93754","121925","97730","109138","104718","82073","94513","127746","113504","184962","198282","230049","207348","193142","172892","333197","286675","","",
"Gambia, The","GMB","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4500","4800","5300","5300","5300","6200","6200","6200","6700","6700","7447","7739","7884","12294","12695","12695","12695","18092","14972","11143","13265","14739","9212","11653","11882","10712","13262","14642","13852","19789","21602","24985","18045","21308","22781","23699","31601","32743","29033","32639","29016","34527","37405","37366","32817","34955","37477","43574","42881","45884","46624","41500","36062","43726","51500","55968","58261","60461","49526","","",
"Guinea-Bissau","GNB","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","700","700","600","600","800","900","700","700","1300","1400","1500","1400","1700","1700","1700","1669","3575","4275","4283","2936","4166","3643","3977","2671","2751","3743","3700","4100","4690","5400","5400","5000","5200","5350","6000","6328","7000","7200","6700","6200","6315","6848","7324","6153","6650","6983","7067","6500","6804","6721","6584","6549","6829","6707","6700","6700","6700","6700","6700","","",
"Equatorial Guinea","GNQ","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","900","500","800","1000","1000","600","1200","1100","3700","3500","4000","4000","4000","4000","4000","4000","4000","4000","4000","4000","2500","2500","2019","2341","4000","3600","4400","4000","4000","4000","3700","3500","3600","3507","5069","2306","5040","6090","6005","7001","3634","3600","3550","3550","3500","3750","4000","4533","5400","7669","7376","7115","7834","6940","6068","6420","6451","6380","6410","","",
"Greece","GRC","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","87100","85100","80100","80100","83600","89700","91000","93200","99900","94200","85099","94164","92049","103346","92278","94936","105962","106867","100871","103282","105651","101460.1796875","104637.796875","99847.3984375","105998.796875","112584.8984375","122552","132002.40625","119599.296875","131797.5","132381","138644.90625","152611.796875","159100.5","181124.90625","151716.5","151051.203125","156978.09375","110146.3984375","120591.75","99343.703125","94196.3984375","96078.8984375","93781.3984375","93891.3984375","92430.5","98239.703125","96095.796875","85885.296875","83181.796875","70179.796875","63246.5","61044.19921875","64171.19921875","60172.69921875","65426.6015625","76570.296875","78183","77236.796875","","",
"Grenada","GRD","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","300","500","900","700","1100","1300","1200","1300","1300","1400","1300","1500","1700","1700","1634","1700","1700","2958","2238","1491","1419","788","982","1479","1555","1727","2296","2214","2092","1782","1911","2071","2115","2212","1599","1499","1577","1530","1837","1828","1701","2250","2171","2544","2039","2048","2163","2207","2386","2648","2182","2322","2263","2695","2850","2707","2550","2550","2550","","",
"Greenland","GRL","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","53018","55904","53852","45569","52475","54145","56155","53643","47019","86708","121820","114156","122694","137746","139162","133466","132476","160386","179340","202748","201024","208464","205270","194418","188308","162285","125043","162673","176199","215017","199097","178822","182612","261098","261765","283460","297236","277704","297590","352352","351788","336528","356596","336462","375128","431163","445845","398254","401789","360423","369182","358625","345737","413518","428395","395248","384779","406750","371742","","",
"Guatemala","GTM","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1000","1300","2100","2500","2700","2100","3000","2500","1900","3000","3400","3300","3100","3700","3881","4530","3653","3074","5504","4898","3507","4265","4284","2376","2963","2707","2119","2426","2805","3614","6894","6513","6578","7582","7211","8253","7653","6896","10847","21018","39203","29704","23427","23696","10012","18979","17569","17965","23291","20149","22332","19844","19991","22086","22178","20497","19039","20519","17009","","",
"Guam","GUM","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","100","100","100","100","100","100","100","100","100","100","100","100","100","100","91","131","95","184","200","162","253","315","399","290","348","433","425","320","395","340","476","514","388","388","398","266","260","271","355","324","624","673","435","456","532","280","418","326","329","462","394","386","354","437","410","1312","1391","396","370","","",
"Guyana","GUY","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","5700","7400","7900","9200","10400","12000","12300","13900","16000","16600","17400","15500","17600","19000","23617","20123","20956","31907","35978","35288","31530","32798","32794","44477","117599","195769","94415","82415","83493","42304","49505","49829","44711","45681","47052","49456","51233","54908","52840","64403","59446","60221","57225","63501","60667","56449","58288","65109","66668","72336","65870","71974","73551","79246","72718","57921","43732","59960","52708","","",
"High income","HIC","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","18951369","20321556","21077863","21203029.125","22047714.125","23438492.375","25145794.75","25956571","27085321","26301356","28113078","29267196","29002073","29802965","30636406","30136458","32194884","32199754","32745170.09375","33250437.71875","33935135.875","35210159.4375","35247379.9296875","36546320.2045898","38864836.6191406","38477031.7734375","40138693.7248535","40166581.2490234","42464973.5283203","42374649.7988281","39331023.6494141","38088112.7314453","38673825.5322266","37679938.8850098","38776449.6796875","38154678.6583252","37277465.692627","37138183.6052246","32791709.4611816","34062159.0727539","32880396.6362305","32677888.7734375","32608186.1967773","31555746.6679688","32338854.0664063","31375180.0445557","30556800.6923828","29926234.536377","28659767.6795654","27561267.5422363","27170755.5224609","27447932.277771","26253076.2231445","26190514.6495972","27099590.7783203","26384238.2523499","24761007.2533875","26395563.354187","26253604.1868896","","",
"Hong Kong SAR, China","HKG","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","49850","54200","58790","60300","62430","65581","63412","66960","110330","115320","133224","124787","131778","124496","138184","145947","151170","153638","156127","182549","186797","174598","171880","180742","192036","190295","204436","217666","227390","232985","224239","220288","220183","217545","211010","194999","183856","186000","180000","127780","157012","173972","169790","157444","167544","161964","154536","154147","158126","158965","168010","170720","155230","170129","160789","145193","142775","127554","124299","","",
"Honduras","HND","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1700","2550","2550","2550","3400","4050","2600","4000","5700","5450","5000","5700","5750","4450","3861","5005","4629","5924","6768","8803","6550","6295","7940","11331","9471","11185","22188","25974","26579","23463","21140","32377","27963","28820","17337","27741","27260","23780","15468","22569","17915","22292","15789","17343","17766","21215","22657","16690","16104","13498","12078","11381","12548","11849","8639","10759","10600","10600","10600","","",
"Heavily indebted poor countries (HIPC)","HPC","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","766117","795867","851267","907667","998417","1062267","1125171","1215141","1291191","1398883","1519453","1609338","1684988","1719371","1746589","1829506","1810932","1944680","1894495","1802164","1821623","1836077","1841346","1952199.10009766","2143356","2229390","2303753","2515539.89990234","2522381.21240234","2501669.93115234","2645196.1875","2500671.75","2717432.3125","2648713.34375","2495499.0625","2713577","2874272.7875","2960529.1875","2872899.80627441","3045367.54980469","3109368","3166632.25","3073990.5","3411254.25","3630373.1875","3660786.5","3442616.5","3639583.5","3651802.5","3816566","3928484","4215913","4333525","4407692","4403407","4448796.25","4869200","5467141","5508566.75","","",
"Croatia","HRV","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26732.078125","26630.2734375","17481.0078125","16268.0537109375","18236.99609375","17041.4921875","21946.078125","18909.19140625","21068.244140625","18551.125","21239.5390625","19958.03515625","30172.12109375","34695.08984375","37876.1328125","40228.6328125","49068.078125","55790.5","52867.30078125","71396.0625","64389.1796875","75831.34375","80369","73947","73305.5","69945.65625","70557.3359375","","",
"Haiti","HTI","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","3000","3000","3000","3100","3300","3400","3400","3500","3500","3500","4000","4000","4000","4000","4000","4000","4000","4150","4300","4500","5000","5500","6000","6502.10009765625","6901","6400","6000","5767.89990234375","5517.89990234375","5517.89990234375","5167","5216","5016","5615","5215","5514","6014","6313","6610","7010","7410","7810","8110","8310","9660","11010","12260","13510","14810","16010","13710","16530","16510","16510","16510","16510","16510","16510","16350","","",
"Hungary","HUN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","4900","6800","7250","6850","6600","7520","8010","8970","10100","7500","6500","6800","6300","7474","8368","8838","9932","12772","10802","11219","11163","12989","15972","16247","22704","18612","19065","18811","20324","14969","16234","8445","8678","7886","8307","7314","7606","7406","7265","7514","7101","6638","6750","6536","7242","7609","7543","7024","7394","6366","6216","7048","6717","6472","7463","5926","5048","5607","5234","","",
"IBRD only","IBD","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","11686577","13944199","16348545","16886118","20508476","18794388","21441985","23178027","25065237","23575420","26887105","25759942","20148286","18806946","21355084","20510974","21968923","21167070","23185265.8945313","24132097.7890625","23695197.09375","24977643.078125","26682193.640625","25771687.3125","28714794.7753906","30919881.1025391","34401486.8818359","34281304.7988281","46816005.8310547","48619434.5410156","46603813.8261719","47750018.2421875","49478588.4577637","51498557.3234863","58093821.8828125","58533844.4359131","60279933.1694336","58381673.0265503","52493943.421875","58490604.2631836","60466645.6269531","57125266.7937012","57923403.2062988","55162554.5649414","59906926.9804688","59506088.1539307","57919443.9436035","57875092.3604736","57790715.7780762","57494661.1882324","55293215.822876","59795733.0626831","57346528.6048584","58304513.921875","57903022.3218994","58922161.9406738","57608969.8251953","58935921.3815918","61919404.2307129","","",
"IDA & IBRD total","IBT","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","13432779","15772700","18302324","18907193","22709633","21147807","23927129","25795267","27828715","26485901","30032941","29176087","23784046","22605068","25127863","24168920","25700032","25096589","27098068.8945313","27986503.7890625","27552416.09375","28924977.078125","30679367.640625","29987206.5554199","33202898.909668","35602451.2087402","39285648.5998535","39344372.0734863","51998782.1137695","53861226.5620117","52173064.1787109","53242194.2504883","55209149.682373","57282998.3859863","63736822.5585938","64560327.2445068","66284064.1952148","64833663.7960815","59127985.5562744","65756657.168457","68012894.2402344","64974828.6081543","65930880.0012207","63648508.3969727","69103781.578125","69177429.2633057","67764877.7912598","67830939.3995361","67761356.4772949","67981501.8171387","65728402.916626","70492917.4728394","68248768.5540771","69430633.671875","69313386.3062744","70361761.6437988","69672561.7548828","71952300.3815918","74905451.9807129","","",
"IDA total","IDA","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","1746202","1828501","1953779","2021075","2201157","2353419","2485144","2617240","2763478","2910481","3145836","3416145","3635760","3798122","3772779","3657946","3731109","3929519","3912803","3854406","3857219","3947334","3997174","4215519.24291992","4488104.13427734","4682570.10620117","4884161.71801758","5063067.2746582","5182776.28271484","5241792.02099609","5569250.35253906","5492176.00830078","5730561.22460938","5784441.0625","5643000.67578125","6026482.80859375","6004131.02578125","6451990.76953125","6634042.13439941","7266052.90527344","7546248.61328125","7849561.81445313","8007476.79492188","8485953.83203125","9196854.59765625","9671341.109375","9845433.84765625","9955847.0390625","9970640.69921875","10486840.6289063","10435187.09375","10697184.4101563","10902239.9492188","11126119.75","11410363.984375","11439599.703125","12063591.9296875","13016379","12986047.75","","",
"IDA blend","IDB","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","234352","233663","253736","271926","311928","341834","402418","415140","423033","439853","490641","584364","629367","730686","691452","646098","700333","750175","799779","830839","797745","830761","858780","897868","920558","955590","1011443.40039063","1036338.5","1081943","1107756.30078125","1247959.80957031","1227527.48095703","1248427.20117188","1300329.68359375","1280002.31640625","1368989.40625","1343138.7890625","1477275.0859375","1611397.734375","1693993.7578125","1734529.28125","1675186.203125","1714914.75","1652908.36328125","1791672.11328125","1818399.46875","1931633.6875","1812949.15625","1903594.5","1903532.734375","1958572.9375","2006238.75","2066848.375","2160990.46875","2314528.46875","2225722.46875","2310346.46875","2520754","2383167","","",
"Indonesia","IDN","Capture fisheries production (metric tons)","ER.FSH.CAPT.MT","681061","828628","857937","850976","910852","980902","1137261","1086299","1075825","1129110","1148494","1159181","1177852","1164611","1225698","1226933","1329767","1414037","1478892","1567885","1652660","1677030","1753048","1944527","1982327","2093069","2196212","2306077","2462514","2576870","2668521","2816195","2983772","3212909","3453274","3645428","3767439","3918472","4024958","4018532.5","4168921.5","4349342","4420029","4710291","4754105","4721419","4818814","5060086","5019071","5128007","5402213","5776454","5883521","6157745","6550715","6760874","6595077","6790477.5","7270238","","",
